transaction_id,invoice_date,year,month,month_name,quarter,customer_id,customer_name,customer_type,invoice_number,due_date,invoice_amount,amount_paid,outstanding_balance,payment_date,days_to_payment,payment_status,credit_days,financial_year,days_overdue,aging_bucket,collection_efficiency_%
AC000001,2023-04-30,2023,4,April,Q2,C001,Rekha Jain,Retailer,MINV-00001,2023-05-15,17210.94,17210.94,0.0,2023-05-05,5.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000002,2023-05-31,2023,5,May,Q2,C001,Rekha Jain,Retailer,MINV-00002,2023-06-15,23803.11,23803.11,0.0,2023-06-17,17.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000003,2023-06-30,2023,6,June,Q2,C001,Rekha Jain,Retailer,MINV-00003,2023-07-15,52377.85,52377.85,0.0,2023-07-11,11.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000004,2023-07-31,2023,7,July,Q3,C001,Rekha Jain,Retailer,MINV-00004,2023-08-15,53122.39,53122.39,0.0,2023-08-07,7.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000005,2023-08-31,2023,8,August,Q3,C001,Rekha Jain,Retailer,MINV-00005,2023-09-15,60565.97,60565.97,0.0,2023-09-11,11.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000006,2023-09-30,2023,9,September,Q3,C001,Rekha Jain,Retailer,MINV-00006,2023-10-15,35464.75,35464.75,0.0,2023-10-05,5.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000007,2023-10-31,2023,10,October,Q4,C001,Rekha Jain,Retailer,MINV-00007,2023-11-15,33323.38,33323.38,0.0,2023-11-13,13.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000008,2023-11-30,2023,11,November,Q4,C001,Rekha Jain,Retailer,MINV-00008,2023-12-15,49054.4,49054.4,0.0,2023-12-07,7.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000009,2023-12-31,2023,12,December,Q4,C001,Rekha Jain,Retailer,MINV-00009,2024-01-15,5243.13,5243.13,0.0,2024-01-18,18.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000010,2024-01-31,2024,1,January,Q1,C001,Rekha Jain,Retailer,MINV-00010,2024-02-15,31110.63,31110.63,0.0,2024-02-19,19.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000011,2024-02-29,2024,2,February,Q1,C001,Rekha Jain,Retailer,MINV-00011,2024-03-15,34401.22,34401.22,0.0,2024-03-07,7.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000012,2024-03-31,2024,3,March,Q1,C001,Rekha Jain,Retailer,MINV-00012,2024-04-15,26475.2,26475.2,0.0,2024-04-16,16.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000013,2024-04-30,2024,4,April,Q2,C001,Rekha Jain,Retailer,MINV-00013,2024-05-15,28818.78,1665.77,27153.01,,,OverDue,15,FY2024-25,320,90+ Days,5.78
AC000014,2024-05-31,2024,5,May,Q2,C001,Rekha Jain,Retailer,MINV-00014,2024-06-15,37904.87,37904.87,0.0,2024-06-19,19.0,Paid Late,15,FY2024-25,0,Not OverDue,100.0
AC000015,2024-06-30,2024,6,June,Q2,C001,Rekha Jain,Retailer,MINV-00015,2024-07-15,48654.31,20606.13,28048.18,,,OverDue,15,FY2024-25,259,90+ Days,42.35
AC000016,2024-07-31,2024,7,July,Q3,C001,Rekha Jain,Retailer,MINV-00016,2024-08-15,36527.42,36527.42,0.0,2024-08-16,16.0,Paid Late,15,FY2024-25,0,Not OverDue,100.0
AC000017,2024-08-31,2024,8,August,Q3,C001,Rekha Jain,Retailer,MINV-00017,2024-09-15,47839.29,47839.29,0.0,2024-09-06,6.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000018,2024-09-30,2024,9,September,Q3,C001,Rekha Jain,Retailer,MINV-00018,2024-10-15,13746.38,13746.38,0.0,2024-10-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000019,2024-10-31,2024,10,October,Q4,C001,Rekha Jain,Retailer,MINV-00019,2024-11-15,26451.89,26451.89,0.0,2024-11-13,13.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000020,2024-11-30,2024,11,November,Q4,C001,Rekha Jain,Retailer,MINV-00020,2024-12-15,21938.18,21938.18,0.0,2024-12-14,14.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000021,2024-12-31,2024,12,December,Q4,C001,Rekha Jain,Retailer,MINV-00021,2025-01-15,69633.52,69633.52,0.0,2025-01-14,14.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000022,2025-01-31,2025,1,January,Q1,C001,Rekha Jain,Retailer,MINV-00022,2025-02-15,44102.21,44102.21,0.0,2025-02-12,12.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000023,2025-02-28,2025,2,February,Q1,C001,Rekha Jain,Retailer,MINV-00023,2025-03-15,35837.97,35837.97,0.0,2025-03-13,13.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000024,2025-03-31,2025,3,March,Q1,C001,Rekha Jain,Retailer,MINV-00024,2025-04-15,14880.17,14880.17,0.0,2025-04-03,3.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000025,2023-04-30,2023,4,April,Q2,C002,Jignesh Patel,Hotel/Restaurant,MINV-00025,2023-05-15,22941.29,22941.29,0.0,2023-04-30,0.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000026,2023-05-31,2023,5,May,Q2,C002,Jignesh Patel,Hotel/Restaurant,MINV-00026,2023-06-15,44328.65,44328.65,0.0,2023-06-15,15.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000027,2023-06-30,2023,6,June,Q2,C002,Jignesh Patel,Hotel/Restaurant,MINV-00027,2023-07-15,40096.1,40096.1,0.0,2023-07-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000028,2023-07-31,2023,7,July,Q3,C002,Jignesh Patel,Hotel/Restaurant,MINV-00028,2023-08-15,49051.68,49051.68,0.0,2023-08-06,6.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000029,2023-08-31,2023,8,August,Q3,C002,Jignesh Patel,Hotel/Restaurant,MINV-00029,2023-09-15,37580.65,11300.16,26280.49,,,OverDue,15,FY2023-24,563,90+ Days,30.07
AC000030,2023-09-30,2023,9,September,Q3,C002,Jignesh Patel,Hotel/Restaurant,MINV-00030,2023-10-15,26285.04,26285.04,0.0,2023-10-18,18.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000031,2023-10-31,2023,10,October,Q4,C002,Jignesh Patel,Hotel/Restaurant,MINV-00031,2023-11-15,40624.6,40624.6,0.0,2023-11-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000032,2023-11-30,2023,11,November,Q4,C002,Jignesh Patel,Hotel/Restaurant,MINV-00032,2023-12-15,24684.88,24684.88,0.0,2023-12-18,18.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
